id,name,student,task,time,randomness,data
17084,run-program,8620,19.0,2017-12-13T14:56:10.697103Z,815454281,"{'task_session_id': 1159, 'program': 'slffl', 'correct': False}"
17085,start-task,8618,23.0,2017-12-13T14:56:13.718353Z,1963058,{'task_session_id': 1162}
17086,edit-program,8617,14.0,2017-12-13T14:56:16.161955Z,595144320,"{'task_session_id': 1161, 'program': 'fr'}"
17087,run-program,8621,19.0,2017-12-13T14:56:16.577003Z,478234387,"{'task_session_id': 1158, 'program': 'slfl', 'correct': False}"
17088,edit-program,8618,23.0,2017-12-13T14:56:16.848616Z,552871687,"{'task_session_id': 1162, 'program': 'f'}"
17089,edit-program,8617,14.0,2017-12-13T14:56:17.927154Z,168682610,"{'task_session_id': 1161, 'program': 'frl'}"
17090,run-program,8620,19.0,2017-12-13T14:56:19.214277Z,647791929,"{'task_session_id': 1159, 'program': 'slffl', 'correct': False}"
17091,edit-program,8617,14.0,2017-12-13T14:56:19.348569Z,451143385,"{'task_session_id': 1161, 'program': 'frlf'}"
17092,edit-program,8619,6.0,2017-12-13T14:56:21.995414Z,441437736,"{'task_session_id': 1143, 'program': 'rflslss'}"
17093,edit-program,8620,19.0,2017-12-13T14:56:22.987207Z,853299728,"{'task_session_id': 1159, 'program': 'slf'}"
17094,run-program,8617,14.0,2017-12-13T14:56:23.105346Z,492776702,"{'task_session_id': 1161, 'program': 'frlf', 'correct': False}"
17095,edit-program,8619,6.0,2017-12-13T14:56:23.577657Z,420143761,"{'task_session_id': 1143, 'program': 'rflsl'}"
17096,edit-program,8618,23.0,2017-12-13T14:56:23.907042Z,537647669,"{'task_session_id': 1162, 'program': 'ff'}"
17097,edit-program,8620,19.0,2017-12-13T14:56:24.190127Z,1028989215,"{'task_session_id': 1159, 'program': 'sl'}"
17098,edit-program,8618,23.0,2017-12-13T14:56:25.040954Z,399486365,"{'task_session_id': 1162, 'program': 'fff'}"
17099,edit-program,8621,19.0,2017-12-13T14:56:25.432553Z,936285614,"{'task_session_id': 1158, 'program': 'slfll'}"
17100,edit-program,8620,19.0,2017-12-13T14:56:25.877823Z,620198386,"{'task_session_id': 1159, 'program': 's'}"
17101,edit-program,8618,23.0,2017-12-13T14:56:26.365362Z,258571070,"{'task_session_id': 1162, 'program': 'fffr'}"
