id,student,task,solved,start,end,time_spent
368,3973,21,True,2017-11-23T07:38:22.241903Z,2017-11-23T07:43:06.431146Z,284
375,3971,53,True,2017-11-23T07:39:03.367075Z,2017-11-23T07:40:30.736107Z,87
357,3709,21,True,2017-11-23T07:36:29.343413Z,2017-11-23T07:39:46.678112Z,197
364,3986,23,True,2017-11-23T07:37:51.121158Z,2017-11-23T07:39:14.956984Z,83
381,3990,10,True,2017-11-23T07:39:48.929586Z,2017-11-23T07:40:01.459320Z,12
371,3990,26,True,2017-11-23T07:38:49.146940Z,2017-11-23T07:39:29.504799Z,40
361,3980,18,True,2017-11-23T07:37:12.015873Z,2017-11-23T07:40:51.214097Z,219
279,3977,2,True,2017-11-23T07:28:41.509354Z,2017-11-23T07:42:53.575922Z,852
369,3982,19,False,2017-11-23T07:38:44.897950Z,2017-11-23T07:43:40.066335Z,295
374,3974,17,True,2017-11-23T07:39:00.717741Z,2017-11-23T07:40:16.395450Z,75
382,3709,53,True,2017-11-23T07:39:50.069993Z,2017-11-23T07:41:36.133560Z,106
348,3984,18,True,2017-11-23T07:34:19.522802Z,2017-11-23T07:42:27.350352Z,487
334,3983,6,False,2017-11-23T07:32:21.643986Z,2017-11-23T07:45:15.298404Z,773
387,3978,57,True,2017-11-23T07:40:20.340175Z,2017-11-23T07:42:06.361011Z,106
430,3709,2,True,2017-11-24T06:57:27.632375Z,2017-11-24T06:58:27.959529Z,60
347,3978,46,True,2017-11-23T07:34:13.816750Z,2017-11-23T07:40:15.564798Z,361
394,3976,11,True,2017-11-23T07:41:26.871992Z,2017-11-23T07:42:07.866885Z,40
465,4020,23,True,2017-11-24T21:32:46.831472Z,2017-11-24T21:40:18.159504Z,451
454,4328,3,False,2017-11-24T09:15:50.829290Z,2017-11-24T09:17:15.992651Z,85
431,3709,56,False,2017-11-24T06:58:30.772683Z,2017-11-24T07:01:08.611381Z,157
386,3974,14,True,2017-11-23T07:40:19.027244Z,2017-11-23T07:40:35.215695Z,16
341,3977,57,True,2017-11-23T07:33:30.531808Z,2017-11-23T07:42:17.440641Z,526
416,3972,46,False,2017-11-23T07:44:32.824594Z,2017-11-23T07:44:49.159423Z,16
455,4345,51,False,2017-11-24T10:21:45.776217Z,2017-11-24T10:22:37.056056Z,51
432,4315,25,True,2017-11-24T08:06:31.904985Z,2017-11-24T08:07:09.477986Z,37
411,3980,11,True,2017-11-23T07:43:51.008335Z,2017-11-23T07:44:50.267718Z,59
433,4315,31,False,2017-11-24T08:07:37.873712Z,2017-11-24T08:07:37.873733Z,0
388,3986,53,True,2017-11-23T07:40:20.946411Z,2017-11-23T07:42:26.680641Z,125
404,3979,41,True,2017-11-23T07:42:49.740277Z,2017-11-23T07:44:09.835440Z,80
419,3980,53,False,2017-11-23T07:44:52.503473Z,2017-11-23T07:44:52.503499Z,0
450,4328,57,True,2017-11-24T09:09:39.626577Z,2017-11-24T09:12:01.989947Z,142
384,3972,21,True,2017-11-23T07:40:06.048486Z,2017-11-23T07:43:22.341340Z,196
396,3975,37,True,2017-11-23T07:41:34.033588Z,2017-11-23T07:43:24.256120Z,110
355,3976,1,True,2017-11-23T07:35:29.004955Z,2017-11-23T07:41:03.096996Z,334
385,3975,53,True,2017-11-23T07:40:11.864430Z,2017-11-23T07:41:08.788163Z,56
420,3990,11,False,2017-11-23T07:44:53.861445Z,2017-11-23T07:44:53.861465Z,0
471,4020,13,True,2017-11-24T21:50:15.266887Z,2017-11-24T21:52:13.430922Z,118
436,4328,51,True,2017-11-24T08:59:19.430260Z,2017-11-24T08:59:34.451755Z,15
391,3980,1,True,2017-11-23T07:40:53.995590Z,2017-11-23T07:42:35.365457Z,101
425,3709,47,False,2017-11-23T08:53:15.227333Z,2017-11-23T11:17:37.813226Z,8662
398,3978,38,True,2017-11-23T07:42:09.461395Z,2017-11-23T07:44:55.808013Z,166
389,3974,3,True,2017-11-23T07:40:39.185599Z,2017-11-23T07:41:15.833637Z,36
451,4328,25,True,2017-11-24T09:12:47.463985Z,2017-11-24T09:13:07.219161Z,19
456,4347,2,True,2017-11-24T10:27:16.766934Z,2017-11-24T10:27:51.425170Z,34
406,3977,12,True,2017-11-23T07:42:55.445255Z,2017-11-23T07:43:33.788436Z,38
445,4328,10,True,2017-11-24T09:01:23.679553Z,2017-11-24T09:01:37.574393Z,13
402,3986,19,True,2017-11-23T07:42:31.107008Z,2017-11-23T07:44:18.389114Z,107
435,4329,44,True,2017-11-24T08:59:14.834789Z,2017-11-24T08:59:42.325025Z,27
392,3976,44,True,2017-11-23T07:41:05.185693Z,2017-11-23T07:41:25.312863Z,20
393,3975,3,True,2017-11-23T07:41:11.402880Z,2017-11-23T07:41:30.297105Z,18
400,3979,11,True,2017-11-23T07:42:13.511362Z,2017-11-23T07:42:45.531702Z,32
434,4327,44,True,2017-11-24T08:58:28.437697Z,2017-11-24T08:59:44.261736Z,75
423,3709,1,True,2017-11-23T07:45:24.680951Z,2017-11-23T08:53:07.856505Z,4063
426,4020,2,False,2017-11-23T09:43:17.340368Z,2017-11-23T09:43:17.340395Z,0
410,3977,13,False,2017-11-23T07:43:35.621877Z,2017-11-23T07:44:22.955170Z,47
395,3974,50,True,2017-11-23T07:41:33.615790Z,2017-11-23T07:42:51.296780Z,77
428,4047,25,True,2017-11-23T11:31:58.799186Z,2017-11-23T11:33:21.935862Z,83
447,4329,13,False,2017-11-24T09:02:26.483209Z,2017-11-24T09:07:28.928395Z,302
397,3709,38,True,2017-11-23T07:41:45.041791Z,2017-11-23T07:43:45.336001Z,120
403,3980,13,True,2017-11-23T07:42:37.686265Z,2017-11-23T07:43:46.231470Z,68
461,4349,25,False,2017-11-24T10:32:29.348508Z,2017-11-24T10:32:38.313987Z,8
438,4329,25,True,2017-11-24T08:59:45.312892Z,2017-11-24T08:59:58.261169Z,12
488,4623,25,True,2017-11-26T10:03:24.341280Z,2017-11-26T10:03:35.103544Z,10
407,3973,18,False,2017-11-23T07:43:15.545002Z,2017-11-23T07:44:28.116955Z,72
408,3972,3,True,2017-11-23T07:43:24.336231Z,2017-11-23T07:44:28.551650Z,64
457,4347,44,True,2017-11-24T10:27:59.031626Z,2017-11-24T10:28:17.317977Z,18
399,3976,21,True,2017-11-23T07:42:11.051948Z,2017-11-23T07:44:29.569642Z,138
452,4328,1,True,2017-11-24T09:14:16.266326Z,2017-11-24T09:15:02.864580Z,46
475,4623,23,True,2017-11-25T08:09:57.408646Z,2017-11-25T08:11:19.889425Z,82
446,4328,12,True,2017-11-24T09:01:40.320409Z,2017-11-24T09:08:36.999123Z,416
459,4347,23,False,2017-11-24T10:30:05.770568Z,2017-11-24T10:32:53.246075Z,167
444,4329,8,True,2017-11-24T09:01:05.861935Z,2017-11-24T09:02:09.097701Z,63
462,4352,12,False,2017-11-24T10:43:01.018136Z,2017-11-24T10:43:01.018173Z,0
440,4329,10,True,2017-11-24T09:00:02.343560Z,2017-11-24T09:00:27.280409Z,24
427,3709,33,False,2017-11-23T11:17:55.417906Z,2017-11-24T06:55:31.519889Z,70656
439,4327,2,True,2017-11-24T08:59:47.692537Z,2017-11-24T09:00:28.116509Z,40
415,3976,13,False,2017-11-23T07:44:32.134636Z,2017-11-23T07:45:14.959129Z,42
417,3975,56,False,2017-11-23T07:44:41.615807Z,2017-11-23T07:45:15.333214Z,33
412,3979,6,False,2017-11-23T07:44:12.914130Z,2017-11-23T07:45:16.186936Z,63
418,3974,41,True,2017-11-23T07:44:42.805653Z,2017-11-23T07:45:16.247437Z,33
414,3986,38,True,2017-11-23T07:44:20.931324Z,2017-11-23T07:45:17.980196Z,57
390,3971,41,True,2017-11-23T07:40:46.464729Z,2017-11-23T07:45:18.750092Z,272
413,3709,8,True,2017-11-23T07:44:14.892251Z,2017-11-23T07:45:20.019001Z,65
422,3974,55,False,2017-11-23T07:45:23.525187Z,2017-11-23T07:45:23.525212Z,0
401,3984,13,False,2017-11-23T07:42:30.334592Z,2017-11-23T07:45:24.291260Z,173
424,3986,52,False,2017-11-23T07:45:26.528206Z,2017-11-23T07:45:26.528234Z,0
448,4328,49,True,2017-11-24T09:08:44.555688Z,2017-11-24T09:09:08.838259Z,24
409,3975,46,True,2017-11-23T07:43:26.721316Z,2017-11-23T07:44:39.755779Z,73
405,3974,52,True,2017-11-23T07:42:53.405626Z,2017-11-23T07:44:40.248775Z,106
429,3709,58,False,2017-11-24T06:55:52.081033Z,2017-11-24T06:57:14.744493Z,82
421,3978,19,False,2017-11-23T07:44:59.017514Z,2017-11-23T07:45:32.930629Z,33
458,4347,12,True,2017-11-24T10:29:13.184923Z,2017-11-24T10:30:01.067986Z,47
453,4328,8,True,2017-11-24T09:15:21.151056Z,2017-11-24T09:15:43.937254Z,22
441,4329,14,True,2017-11-24T09:00:29.145503Z,2017-11-24T09:00:50.825090Z,21
437,4328,44,True,2017-11-24T08:59:44.060315Z,2017-11-24T09:00:54.621698Z,70
449,4328,26,True,2017-11-24T09:09:10.739636Z,2017-11-24T09:09:35.944373Z,25
466,4020,8,True,2017-11-24T21:40:21.273108Z,2017-11-24T21:40:59.010184Z,37
443,4329,2,True,2017-11-24T09:00:52.860956Z,2017-11-24T09:01:04.076380Z,11
463,4020,44,True,2017-11-24T21:31:32.200236Z,2017-11-24T21:32:07.609946Z,35
480,4623,57,False,2017-11-25T08:13:48.088507Z,2017-11-25T08:15:02.179624Z,74
442,4327,6,False,2017-11-24T09:00:32.337715Z,2017-11-24T09:03:03.796335Z,151
478,4623,10,True,2017-11-25T08:12:58.862953Z,2017-11-25T08:13:16.157212Z,17
467,4020,25,True,2017-11-24T21:41:02.899265Z,2017-11-24T21:41:14.151373Z,11
464,4020,31,True,2017-11-24T21:32:14.467570Z,2017-11-24T21:32:40.498353Z,26
473,4623,2,True,2017-11-25T08:05:47.930315Z,2017-11-25T08:09:14.764055Z,206
468,4020,12,True,2017-11-24T21:41:17.267429Z,2017-11-24T21:41:39.425390Z,22
460,4349,44,True,2017-11-24T10:31:05.409371Z,2017-11-24T10:32:07.413608Z,62
469,4020,51,True,2017-11-24T21:41:44.403442Z,2017-11-24T21:41:49.831491Z,5
490,4623,51,True,2017-11-26T10:03:54.677575Z,2017-11-26T10:03:58.950268Z,4
472,4020,46,False,2017-11-24T21:52:24.038060Z,2017-11-24T21:56:48.283683Z,264
