"task_instance_id","student_id","task_id","time_start","time_end","time_spent","solved","given_up","attempts","solution_size","reported_flow","instructions_ids","session_id","session_order"
113,27,3,"2016-07-24 15:49:31.468138","2016-07-24 15:49:49.895026",19,True,False,1,6,"EASY","[]",39,39
151,38,11,"2016-08-17 14:34:12.003664","2016-08-17 14:34:36.285314",24,True,False,1,7,"EASY","[16, 3]",58,58
114,27,20,"2016-07-24 15:49:55.443839","2016-07-24 15:50:52.358107",57,True,False,2,8,"EASY","[16, 3]",39,39
157,49,1,"2016-08-17 14:43:14.926802","",0,False,False,0,"","UNKNOWN","[11, 13, 12, 1, 14, 15]",68,68
152,38,12,"2016-08-17 14:34:45.203737","2016-08-17 14:35:07.879347",23,True,False,1,8,"EASY","[]",58,58
134,38,56,"2016-08-15 06:03:18.897730","2016-08-15 06:42:50.003970",19,True,False,1,3,"RIGHT","[11, 13, 12, 1, 14, 15]",55,55
159,51,56,"2016-08-17 14:59:35.166125","",0,False,False,0,"","UNKNOWN","[11, 13, 12, 1, 14, 15]",70,70
137,38,2,"2016-08-15 06:43:00.218828","2016-08-15 06:43:20.268332",20,True,False,1,7,"EASY","[2]",55,55
138,38,18,"2016-08-15 06:43:25.437712","",0,False,False,0,"","UNKNOWN","[16, 3]",55,55
139,40,56,"2016-08-15 07:31:02.891439","",0,False,False,0,"","UNKNOWN","[11, 13, 12, 1, 14, 15]",57,57
141,41,56,"2016-08-17 07:45:07.763405","",0,False,False,0,"","UNKNOWN","[11, 13, 12, 1, 14, 15]",59,59
142,42,1,"2016-08-17 09:24:21.325482","",0,False,False,0,"","UNKNOWN","[11, 13, 12, 1, 14, 15]",60,60
143,43,1,"2016-08-17 09:52:03.201918","",0,False,False,0,"","UNKNOWN","[11, 13, 12, 1, 14, 15]",61,61
144,44,56,"2016-08-17 09:54:53.245011","",0,False,False,0,"","UNKNOWN","[11, 13, 12, 1, 14, 15]",62,62
145,45,1,"2016-08-17 09:58:44.749213","",0,False,False,0,"","UNKNOWN","[11, 13, 12, 1, 14, 15]",63,63
147,47,56,"2016-08-17 10:16:25.327917","",0,False,False,0,"","UNKNOWN","[11, 13, 12, 1, 14, 15]",64,64
153,38,19,"2016-08-17 14:35:14.302405","2016-08-17 14:35:31.258202",17,True,False,1,4,"EASY","[4, 5]",58,58
154,38,15,"2016-08-17 14:35:35.569417","2016-08-17 14:36:02.277553",27,True,False,1,8,"EASY","[6]",58,58
160,44,1,"2016-08-18 03:37:52.211723","2016-08-18 03:38:23.119500",19,True,False,1,4,"EASY","[11, 13, 12, 1, 14, 15]",71,71
155,38,27,"2016-08-17 14:36:06.429010","2016-08-17 14:36:30.382460",24,True,False,1,8,"EASY","[]",58,58
174,52,56,"2016-08-18 03:54:07.769088","",0,False,False,0,"","UNKNOWN","[11, 13, 12, 1, 14, 15]",73,73
163,44,20,"2016-08-18 03:40:12.615047","2016-08-18 03:40:32.063403",19,True,False,1,8,"EASY","[]",71,71
161,44,2,"2016-08-18 03:38:28.447351","2016-08-18 03:38:50.950880",23,True,False,1,7,"EASY","[2]",71,71
166,44,23,"2016-08-18 03:41:40.324855","2016-08-18 03:42:01.591729",21,True,False,1,6,"EASY","[]",71,71
168,44,25,"2016-08-18 03:43:29.356522","2016-08-18 03:44:04.423811",35,True,False,2,7,"EASY","[]",72,72
164,44,19,"2016-08-18 03:40:34.135029","2016-08-18 03:40:55.430554",21,True,False,1,4,"EASY","[4, 5]",71,71
171,44,37,"2016-08-18 03:46:56.649982","2016-08-18 03:48:24.464803",88,True,False,1,15,"EASY","[19]",72,72
165,44,27,"2016-08-18 03:41:04.609992","2016-08-18 03:41:35.933314",31,True,False,1,8,"EASY","[]",71,71
167,44,55,"2016-08-18 03:42:17.419060","2016-08-18 03:43:20.905651",64,True,False,1,7,"EASY","[6]",72,72
170,44,26,"2016-08-18 03:46:14.077904","2016-08-18 03:46:53.160823",39,True,False,1,11,"EASY","[]",72,72
169,44,53,"2016-08-18 03:44:08.869572","2016-08-18 03:46:07.358898",33,True,False,1,9,"EASY","[]",72,72
172,44,24,"2016-08-18 03:50:11.356410","2016-08-18 03:52:09.815714",118,True,False,1,7,"EASY","[]",72,72
173,44,39,"2016-08-18 03:52:14.623506","2016-08-18 03:58:44.826816",390,True,False,1,7,"EASY","[]",72,72
175,44,42,"2016-08-18 03:59:01.682328","2016-08-18 04:00:13.496449",72,True,False,4,7,"EASY","[18]",74,74
176,44,45,"2016-08-18 04:00:21.182967","2016-08-18 10:44:51.448351",238,True,False,6,19,"RIGHT","[17, 7, 8]",74,74
177,44,14,"2016-08-18 10:44:53.780190","2016-08-18 10:45:55.868399",62,True,False,2,7,"EASY","[]",74,74
178,44,30,"2016-08-18 10:45:58.557975","2016-08-18 10:49:45.194834",227,True,False,1,10,"RIGHT","[9]",74,74
179,44,28,"2016-08-18 10:49:49.757925","",0,False,False,0,"","UNKNOWN","[]",74,74
180,53,56,"2016-08-21 02:44:26.283597","",0,False,False,0,"","UNKNOWN","[11, 13, 12, 1, 14, 15]",75,75
181,54,1,"2016-08-21 06:56:28.760521","",0,False,False,0,"","UNKNOWN","[11, 13, 12, 1, 14, 15]",76,76
182,44,3,"2016-08-23 07:41:04.511980","2016-08-23 07:42:24.767481",18,True,False,1,6,"EASY","[]",77,77
183,44,53,"2016-08-23 07:42:46.892306","2016-08-23 07:43:22.902049",36,True,False,1,9,"EASY","[]",77,77
240,69,23,"2016-09-06 15:44:23.434639","2016-09-06 15:46:03.275094",100,True,False,1,6,"RIGHT","[]",101,101
213,59,8,"2016-09-04 07:57:44.677811","2016-09-04 07:57:49.189481",5,False,True,0,"","VERY_DIFFICULT","[2]",89,89
184,44,5,"2016-08-23 07:43:27.789714","2016-08-23 07:45:08.630607",90,True,False,2,21,"EASY","[]",77,77
185,44,37,"2016-08-23 07:45:13.629022","",0,False,False,0,"","UNKNOWN","[]",77,77
186,53,56,"2016-08-25 03:34:55.276211","",0,False,False,0,"","UNKNOWN","[11, 13, 12, 1, 14, 15]","",""
187,55,1,"2016-08-29 03:54:24.431489","",0,False,False,0,"","UNKNOWN","[11, 13, 12, 1, 14, 15]",78,78
188,56,56,"2016-08-29 05:05:22.803145","",0,False,False,0,"","UNKNOWN","[11, 13, 12, 1, 14, 15]",79,79
189,55,1,"2016-08-30 01:32:09.573011","",0,False,False,0,"","UNKNOWN","[11, 13, 12, 1, 14, 15]",80,80
190,55,56,"2016-09-01 05:41:36.345650","",0,False,False,0,"","UNKNOWN","[11, 13, 12, 1, 14, 15]",81,81
250,70,37,"2016-09-06 17:07:24.067421","",0,False,False,0,"","UNKNOWN","[19, 6]",104,104
192,44,45,"2016-09-01 06:21:22.769740","2016-09-01 06:24:55.359053",179,True,False,3,19,"RIGHT","[]",83,83
214,59,3,"2016-09-04 07:57:49.575479","2016-09-04 07:58:21.294326",32,True,False,1,6,"RIGHT","[2]",89,89
215,59,18,"2016-09-04 07:58:26.630582","",0,False,False,0,"","UNKNOWN","[16, 3]",89,89
216,61,56,"2016-09-04 08:00:44.426363","",0,False,False,0,"","UNKNOWN","[11, 13, 12, 1, 14, 15]",90,90
193,44,31,"2016-09-01 06:25:01.507539","2016-09-01 06:29:30.956117",269,True,False,2,7,"RIGHT","[]",83,83
217,1,4,"2016-09-04 08:07:27.310324","",0,False,False,0,"","UNKNOWN","[2]",91,91
218,62,1,"2016-09-05 03:13:38.988387","",0,False,False,0,"","UNKNOWN","[11, 13, 12, 1, 14, 15]",92,92
194,44,18,"2016-09-01 06:29:39.723638","2016-09-01 06:29:50.888505",11,True,False,1,4,"EASY","[]",83,83
234,69,1,"2016-09-06 15:28:36.335664","2016-09-06 15:29:43.696752",67,True,False,2,4,"RIGHT","[11, 13, 12, 1, 14, 15]",101,101
195,44,47,"2016-09-01 06:29:54.926979","2016-09-01 06:30:51.997444",57,True,False,1,12,"RIGHT","[]",83,83
251,71,1,"2016-09-07 13:34:24.804725","",0,False,False,0,"","UNKNOWN","[11, 13, 12, 1, 14, 15]",105,105
196,44,33,"2016-09-01 06:30:56.779944","2016-09-01 06:32:09.320617",72,True,False,1,16,"RIGHT","[]",83,83
219,63,1,"2016-09-05 05:11:15.260679","2016-09-05 05:11:44.906084",29,True,False,2,4,"DIFFICULT","[11, 13, 12, 1, 14, 15]",93,93
220,63,8,"2016-09-05 05:12:03.539214","",0,False,False,0,"","UNKNOWN","[2]",93,93
198,58,1,"2016-09-01 06:32:31.036896","2016-09-01 06:33:34.779612",64,True,False,1,4,"EASY","[11, 13, 12, 1, 14, 15]",84,84
221,64,1,"2016-09-05 06:45:55.565185","",0,False,False,0,"","UNKNOWN","[11, 13, 12, 1, 14, 15]",94,94
199,58,3,"2016-09-01 06:33:46.526116","2016-09-01 06:34:19.739454",33,True,False,1,6,"EASY","[2]",84,84
245,70,11,"2016-09-06 16:59:49.378122","2016-09-06 17:00:42.282429",52,True,False,2,7,"EASY","[]",103,103
235,69,2,"2016-09-06 15:29:56.641374","2016-09-06 15:30:28.971921",32,True,False,1,7,"RIGHT","[2]",101,101
200,58,20,"2016-09-01 06:34:38.984094","2016-09-01 06:38:56.644982",258,True,False,4,8,"RIGHT","[16, 3]",84,84
252,44,29,"2016-09-08 02:17:32.109101","",0,False,False,0,"","UNKNOWN","[]",106,106
223,44,45,"2016-09-05 06:46:03.393945","2016-09-05 06:51:04.391325",301,True,False,5,19,"RIGHT","[]",96,96
201,58,12,"2016-09-01 06:39:06.631408","2016-09-01 06:39:56.443299",50,True,False,1,8,"EASY","[]",84,84
202,58,19,"2016-09-01 06:40:07.345460","2016-09-01 10:03:41.196842",8355,True,False,1,4,"EASY","[4, 5]",84,84
236,69,16,"2016-09-06 15:30:58.022848","2016-09-06 15:33:47.335769",169,False,True,2,5,"VERY_DIFFICULT","[16, 3]",101,101
224,44,32,"2016-09-05 06:51:08.150383","2016-09-05 06:51:47.689467",40,True,False,1,10,"EASY","[]",96,96
225,44,33,"2016-09-05 06:51:52.838326","",0,False,False,0,"","UNKNOWN","[]",96,96
203,58,54,"2016-09-01 10:03:54.108258","2016-09-01 10:09:50.540652",355,True,False,3,15,"RIGHT","[19]",84,84
204,58,42,"2016-09-01 10:09:57.436197","",0,False,False,0,"","UNKNOWN","[18]",84,84
197,44,53,"2016-09-01 06:32:17.451885","2016-09-01 11:33:46.671129",38,True,False,1,9,"EASY","[]",83,83
205,44,45,"2016-09-01 11:33:49.260214","",0,False,False,0,"","UNKNOWN","[]",83,83
206,44,53,"2016-09-01 11:34:14.100097","",0,False,False,0,"","UNKNOWN","[]","",""
207,55,56,"2016-09-02 00:53:18.485755","",0,False,False,0,"","UNKNOWN","[11, 13, 12, 1, 14, 15]",85,85
208,55,1,"2016-09-02 00:53:18.504341","",0,False,False,0,"","UNKNOWN","[11, 13, 12, 1, 14, 15]",86,86
209,59,1,"2016-09-03 15:07:03.091474","",0,False,False,0,"","UNKNOWN","[11, 13, 12, 1, 14, 15]",87,87
256,72,26,"2016-09-09 04:28:39.380170","2016-09-09 04:30:31.003024",112,True,False,1,11,"RIGHT","[]",107,107
210,60,56,"2016-09-04 07:19:17.259457","2016-09-04 07:20:36.147636",24,True,False,1,3,"RIGHT","[11, 13, 12, 1, 14, 15]",88,88
211,60,1,"2016-09-04 07:20:44.957062","",0,False,False,0,"","UNKNOWN","[]",88,88
226,66,56,"2016-09-05 08:01:36.127010","2016-09-05 08:02:33.935052",58,True,False,2,3,"EASY","[11, 13, 12, 1, 14, 15]",97,97
212,59,1,"2016-09-04 07:56:38.703474","2016-09-04 07:57:34.203219",56,True,False,1,4,"RIGHT","[11, 13, 12, 1, 14, 15]","",""
241,69,53,"2016-09-06 15:46:28.139723","2016-09-06 15:53:04.156737",396,False,False,7,5,"RIGHT","[4, 5]",102,102
237,69,18,"2016-09-06 15:33:47.626052","2016-09-06 15:36:40.831726",54,True,False,3,4,"RIGHT","[16, 3]",101,101
227,66,3,"2016-09-05 08:02:39.422022","2016-09-05 08:03:24.711375",45,True,False,2,6,"RIGHT","[2]",97,97
228,66,26,"2016-09-05 08:03:34.060264","",0,False,False,0,"","UNKNOWN","[16, 3]",97,97
229,44,50,"2016-09-06 06:43:46.837038","",0,False,False,0,"","UNKNOWN","[]",98,98
246,70,27,"2016-09-06 17:00:46.845780","2016-09-06 17:02:16.013833",89,True,False,3,8,"RIGHT","[4, 5]",103,103
230,67,1,"2016-09-06 07:12:44.815779","2016-09-06 07:13:32.862148",48,True,False,1,4,"EASY","[11, 13, 12, 1, 14, 15]",99,99
